squareMeters,numberOfRooms,hasYard,cityCode,numPrevOwners,made,isNewBuilt,price
276,9,0,75020,8,2005,0,3435648
107,6,1,75010,6,2015,1,1545187
236,4,0,75018,8,2021,0,2365192
335,6,0,75005,4,2012,0,3344305
83,5,1,75017,7,1990,1,913498
104,9,0,75013,6,2012,0,1540864
275,4,1,75005,9,1995,1,2713150
296,4,1,75002,4,2003,1,4039512
128,8,0,75015,3,2012,1,1509760
309,9,0,75006,8,2021,1,2903364
151,7,0,75002,8,1993,1,1556357
79,5,1,75017,2,2011,1,892226
38,2,1,75008,9,2008,0,553166
299,7,1,75004,4,2004,1,2862327
257,7,0,75019,5,2018,0,2480821
313,6,1,75017,9,2009,1,3216388
132,6,0,75017,9,2011,1,1169520
25,2,1,75009,8,2013,1,347675
252,7,1,75001,1,2016,0,3699612
42,2,1,75018,5,2017,1,551712
279,9,1,75017,4,2009,1,2453247
347,4,0,75001,7,2000,0,4317027
251,9,1,75009,2,2019,1,2371699
41,1,0,75010,4,2020,0,613606
281,5,0,75019,6,1993,0,4119460
46,2,0,75004,9,2018,0,640274
152,9,0,75007,9,1994,0,1952136
242,7,1,75005,6,2003,1,2215268
26,1,0,75020,5,1993,1,224744
46,1,1,75016,4,2016,1,643816
33,2,1,75014,4,1993,0,370689
173,9,1,75009,1,2021,1,2115098
322,6,0,75001,5,2009,1,4410112
337,6,1,75004,5,2014,1,4660710
68,4,1,75012,9,2008,1,800292
305,7,0,75005,7,1993,0,2796850
286,9,1,75016,7,1998,0,4200196
277,7,0,75017,6,1990,0,4027303
208,6,0,75008,1,2013,1,2637024
313,4,0,75013,10,2000,0,3646763
273,8,1,75013,2,2001,0,2674035
303,9,1,75014,9,2016,1,4220184
203,4,0,75017,7,2000,1,2593528
147,4,0,75019,5,1996,1,1558200
269,8,1,75018,8,2016,1,2924568
122,7,1,75016,2,2021,0,1037976
215,5,1,75011,10,1991,1,1998210
310,10,0,75013,10,2008,1,3099070
245,10,1,75008,3,1998,1,2082255
42,1,0,75009,9,2021,0,604128
133,6,0,75006,5,2020,1,1789515
47,1,1,75019,2,1998,1,572507
39,1,1,75006,6,1992,0,581529
177,4,1,75020,7,2021,0,2379057
201,8,0,75006,3,1999,1,2312907
226,10,1,75011,1,1997,0,3302764
200,8,0,75011,6,1994,1,2369800
263,7,0,75005,10,2016,1,3828491
309,5,0,75019,1,1990,1,3109158
118,4,0,75008,1,1999,1,1703566
103,5,1,75004,8,1993,1,1072127
173,9,0,75005,1,2013,0,1864940
304,8,1,75003,9,2010,0,3088032
333,5,0,75002,9,2005,0,3584412
318,5,1,75018,1,1990,1,3375570
295,5,0,75002,1,2017,0,3260340
267,7,1,75020,7,2016,1,2828331
284,5,1,75011,10,2005,1,3513932
31,1,1,75014,9,1993,0,434837
313,4,1,75014,9,2007,0,3348474
264,10,0,75014,10,2016,0,2752728
296,9,0,75003,1,1995,1,4287560
123,5,0,75003,1,2018,0,1662345
311,7,0,75016,8,2021,1,3981733
141,4,1,75009,4,1998,0,1555371
290,8,1,75013,6,2019,1,4045500
199,8,1,75018,5,1992,1,2198950
226,7,0,75003,3,1990,1,2830198
40,1,0,75012,8,2013,1,461880
67,3,1,75016,5,2001,0,737938
189,10,0,75006,5,1993,0,1772253
74,5,1,75019,1,1999,1,1029266
235,7,1,75016,10,2020,1,3362145
334,9,0,75018,3,2017,1,4648278
304,4,0,75007,4,2021,0,2826896
148,7,0,75011,2,2009,1,1514928
188,6,0,75014,5,2019,0,1766072
182,6,1,75012,8,2020,1,1737190
97,6,0,75011,7,1999,1,1036251
158,4,1,75005,7,2011,1,1866612
107,7,1,75004,7,1994,1,1578250
40,2,1,75007,1,1997,0,506200
246,9,0,75005,1,1994,1,3474012
60,4,0,75018,2,2012,1,559920
204,6,0,75011,4,2015,1,3032868
182,6,1,75018,9,2006,1,2008006
286,6,0,75007,8,2020,0,3360214
114,9,0,75019,2,2007,0,1691760
40,2,0,75004,3,2014,1,442720
172,7,0,75002,1,2003,0,2221724
164,6,0,75018,6,2019,0,2074928
223,7,0,75018,3,1991,0,2185846
57,4,0,75006,7,2006,0,569259
272,5,1,75013,9,1995,1,2965072
300,9,0,75008,9,2018,1,3986100
347,5,1,75017,7,2019,1,3876684
234,9,1,75019,9,2013,0,3169998
323,5,0,75006,10,1995,1,4781692
84,4,0,75009,6,2003,1,924252
340,7,1,75005,7,2010,1,3620320
275,6,0,75016,10,1991,1,2632300
160,8,1,75005,3,2002,1,2382240
243,8,1,75015,9,1991,0,2259171
40,1,1,75020,8,2013,1,464480
85,5,1,75011,8,2002,0,1086810
143,8,0,75005,8,2021,1,1598597
113,9,0,75005,1,1997,1,1274640
276,5,0,75009,2,2020,0,3800520
38,1,1,75004,5,2004,0,323038
24,1,0,75002,8,2001,1,359640
109,10,0,75016,1,2011,1,1322824
28,1,1,75005,6,2011,0,265384
339,10,1,75008,6,2018,1,3723915
142,9,1,75012,8,2002,0,1952216
153,6,0,75011,3,2010,1,2288727
71,3,0,75009,3,1993,1,947282
58,4,1,75006,1,2000,1,702438
22,2,1,75014,8,2001,0,276804
319,7,0,75010,9,1993,0,2682790
139,6,1,75008,10,1992,1,1792405
61,5,1,75009,5,2012,0,841190
193,6,1,75004,8,2016,0,1872293
205,4,0,75003,1,1998,0,1811175
31,2,1,75006,5,1991,0,348006
252,8,0,75010,3,2019,0,3091788
158,9,0,75012,5,2000,0,2005968
264,8,0,75013,5,2008,0,2810016
102,6,1,75008,2,1992,0,951456
315,7,0,75020,7,2004,0,4534110
231,7,1,75009,4,2009,1,3342801
111,7,0,75020,4,2007,1,1131201
109,6,1,75001,2,2003,0,1615816
162,6,1,75013,8,1991,1,1772118
52,3,1,75010,10,1994,0,712348
38,1,1,75020,1,2014,1,564794
290,6,1,75002,5,2000,1,4153960
24,1,0,75005,4,2020,0,235968
97,10,0,75006,8,2009,0,1122096
278,9,1,75005,8,2006,0,3299860
193,10,1,75001,3,2007,0,1626411
234,7,0,75018,7,1992,1,2316834
273,5,0,75009,6,2013,1,3298659
326,10,0,75018,10,1999,1,4089996
320,7,0,75016,2,1999,0,4734400
57,3,0,75016,2,2005,0,675450
213,4,1,75016,3,2017,1,3061875
73,3,0,75013,3,1990,0,935349
350,6,0,75015,2,2012,1,3349500
154,10,0,75010,5,2013,0,1897896
315,7,1,75014,4,1995,0,3288285
153,6,0,75010,3,1999,1,1377765
